CODIGO,DESCRIPCION,COSTO,NEGOCIO,LLEVAR,COLOCADO,BOD,STK,INV,PROVEEDOR,MARCA,CATEGORIA
DW01637GBY,HHR 4 PTAS HB 06-11,,"$2,000.00","$2,100.00","$2,300.00",8,,8,CRINAMEX,CHEVROLET,PARABRISAS
DW01486GTY,HUMMER H2 4 PTAS03-10,,"$2,230.00","$2,330.00","$2,600.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01626GBY,HUMMER H3 06-10,,"$1,940.00","$2,040.00","$2,300.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01377GBY,IMPALAS 4 PTAS SEDAN 00-05,,"$1,910.00","$2,010.00","$2,250.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01640GTY,IMPALA 4 PUERTAS 08,"$1,739.00","$2,100.00","$2,200.00","$2,450.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
FW02062GBN,ISUZU RODEO/ AMIGO 4 PTAS 98-05,,"$1,300.00","$1,400.00","$1,650.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
FW02241GTN,"JAGUAR VANDEN PLAS, XJ8L, XJ8, XJR 4 PTS 98-03",,,,,1,,1,CRINAMEX,CHEVROLET,PARABRISAS
FW00594GTN,LUV PICK  UP /DOBLE CABINA 94-06 (ISUZU RODEO 2/4 PTAS 88-97),,$990.00,"$1,130.00","$1,250.00",5,,,CRINAMEX,CHEVROLET,PARABRISAS
DW01699GBN,MATIZ HB 4 PTAS 04-05,,"$1,570.00","$1,670.00","$1,920.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01671GBN,MATIZ  HB 4 PTAS 06-15,,"$1,250.00","$1,350.00","$1,450.00",3,,3,CRINAMEX,CHEVROLET,PARABRISAS
DW00887GBN,MALIBU 79-82 2 PTS (DW00935),$732.00,"$1,100.00","$1,200.00","$1,300.00",2,,2,CITSA,CHEVROLET,PARABRISAS
DW00889GBN ,MALIBU/CENTURY 2/4 PTAS 78-80,,"$1,200.00","$1,300.00","$1,500.00",7,,7,CITSA,CHEVROLET,PARABRISAS
DW01386GBN,MALIBU 4 PTAS 97-03 (DW01299),,"$1,230.00","$1,310.00","$1,550.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01531GTY,MALIBU 4 PTAS SEDAN/HB 04-07,,"$1,120.00","$1,220.00","$1,420.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01672GTY,MALIBU /AURA SEDAN 4 PTAS 08-11,,"$2,650.00","$2,750.00","$2,850.00",7,,7,CRINAMEX,CHEVROLET,PARABRISAS
FW02430GBN,MERIVA SEDAN 4 PTAS 03-08,,"$1,170.00","$1,320.00","$1,480.00",,,0,,CHEVROLET,PARABRISAS
DW01563GBN,OPTRA SEDAN 4 PTAS 04-10  (DW01608GTN) ESTA EN NISSAN S/N ETIQUETA CHECAR ANTES PRESENTAR,,"$1,110.00","$1,190.00","$1,350.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01605GTY ,PONTIAC G4 2 PTAS COUPE 06/ G5 2 PTAS COUPE 07-10,,"$1,550.00","$1,650.00","$1,750.00",5,,5,CRINAMEX,CHEVROLET,PARABRISAS
DW01606GTY,PONTIAC G5 07-10 SEDAN 4 PUERTAS COBALT 06-11 4PTS,$900.00,"$2,100.00","$2,200.00","$2,300.00",8,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01629GTY,G6 2 PTS CONVERTIBLE 06-09,"$1,350.00","$1,600.00","$1,850.00","$1,950.00",6,,6,SAINT GOBAINT,CHEVROLET,PARABRISAS
DW00904GBN,"GMC, SKYLARK, LIMITED, SPORT 80-85      SENTATION",$754.00,"$1,550.00","$1,650.00","$1,850.00",1,,1,CITSA,CHEVROLET,PARABRISAS
DW01885GBN,SPARK 10-15,$817.80,"$1,350.00","$1,470.00","$1,590.00",3,,3,CRINAMEX,CHEVROLET,PARABRISAS
DW02286GTN,SPARK 16-18,"$1,647.20","$1,300.00","$1,400.00","$1,500.00",9,,9,CITSA,CHEVROLET,PARABRISAS
DW00943GBN,S-10/BLAZER/SONOMA 4/2 PTAS 82-94                                                                                      ,$560.07,"$1,060.00","$1,180.00","$1,330.00",4,,4,CRINAMEX,CHEVROLET,PARABRISAS
DW01168-GBN,S-10/BLAZER/SONOMA 4/2 PTAS 95-04,$715.35,"$1,290.00","$1,450.00","$1,600.00",5,,5,CITSA,CHEVROLET,PARABRISAS
DW00685GBN,SILVERADO/PICK UP 67-72 SOMBREADO,$616.91,"$1,000.00","$1,100.00","$1,200.00",8,,8,CRINAMEX,CHEVROLET,PARABRISAS
DW00814GBN,CHEVROLET PICK-UP/SUBUR 73-91 MAXI/AMERICANA CON ANTENA ,$635.00,"$1,150.00","$1,230.00","$1,300.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW00816GBN,CHEVROLET PICK-UP/SUBUR 73-91 MAXI/AME SIN ANTENA ,$635.00,$940.00,"$1,040.00","$1,150.00",5,,5,CITSA,CHEVROLET,PARABRISAS
DW01026GBN,CHEVROLET PICK-UP/SUBUR 88-98 DW01217),$810.00,"$1,260.00","$1,360.00","$1,460.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01341GBY,SILVERADO/SIERRA/SUBURBAN/ESCALADE/ 4 PTAS 99-06,,"$1,210.00","$1,330.00","$1,500.00",6,,6,CRINAMEX,CHEVROLET,PARABRISAS
DW01658-GBN,SILVERADO/CHEYENE/AVALANCHE/SUBURBAN/ESACALADE 07-14 ,,"$1,450.00","$1,650.00","$1,900.00",5,,5,CITSA,CHEVROLET,PARABRISAS
DW02041GTY,"SILVERADO/CHEYENE/SUBURBAN/SILVERADO SERIE C350,K350,C150,C250 14-16",,"$1,400.00","$1,500.00","$1,650.00",,,0,,CHEVROLET,PARABRISAS
DW02198GTN,SUBURBAN PICK UP/ SILVERADO 15-17 (MISMO 07-14) 1659,,"$2,700.00","$2,900.00","$3,100.00",3,,3,ORIGINAL,CHEVROLET,PARABRISAS
DW00653GBN,SUBURBAN PICK UP 64-66,,$900.00,"$1,050.00","$1,500.00",,,0,CITSA,CHEVROLET,PARABRISAS
DW00653GBN,SUBURBAN PICK UP 64-66,,"$1,300.00","$1,400.00","$1,500.00",,,,CRINAMEX,CHEVROLET,PARABRISAS
DW01918GTN,TORNADO 13-15  MINI P-UP,,"$1,600.00","$1,700.00","$1,800.00",8,,8,CRINAMEX,CHEVROLET,PARABRISAS
DW01448GBY,TRAIL BLAZER/ENVOY/ASCEENDER 02-09 SOMBREADO FW01447,,"$1,400.00","$1,500.00","$1,600.00",6,,6,CITSA,CHEVROLET,PARABRISAS
FW00615BTN ,TRACKER 2/4 PTAS 89-98,$965.00,"$1,350.00","$1,450.00","$1,550.00",5,,5,CRINAMEX,CHEVROLET,PARABRISAS
FW02105GBN,TRACKER/VITARA 2/4 PTAS 99-08,,"$1,100.00","$1,200.00","$1,300.00",1,,1,CRINAMEX,CHEVROLET,PARABRISAS
DW01934GBN,SONIC 4 PTAS HB 12-18,,"$1,420.00","$1,570.00","$1,720.00",5,,5,CITSA,CHEVROLET,PARABRISAS
FW02003GTY,TRAX 4 PTAS 13-16,,"$1,400.00","$1,550.00","$1,700.00",5,,5,CITSA,CHEVROLET,PARABRISAS
DW01454GBN,VENTURE /MONTANA /TRANS SPORT VAN 97-05 (LE KEDA 01574)     (PRECIO 1$1620),,"$1,600.00","$1,700.00","$1,900.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
DW01574GBN ,"UPLANDER/MONTANA SV6 06-09                                              (PRECIO 1,$1376)",,"$1,530.00","$1,630.00","$1,850.00",,,0,,CHEVROLET,PARABRISAS
DW01598GBN,VECTRA 4 PTAS SEDAN 02-08,,"$1,300.00","$1,400.00","$1,500.00",5,,5,CITSA,CHEVROLET,PARABRISAS
DW01598GBN,VECTRA 4 PTAS SEDAN 02-08 USADO,,"$1,150.00","$1,250.00","$1,350.00",,,,USADO,,
DW01501GBN,ZAFIRA MINI VAN 02-05,,"$1,400.00","$1,500.00","$1,600.00",2,,2,,CHEVROLET,PARABRISAS
DW01549GBY,CADILLAC ESCALED 05,,"$1,100.00","$1,200.00","$1,400.00",,,0,,CHEVROLET,PARABRISAS
DW01155GBN,CAMARO 93-99 ,,"$2,000.00","$2,100.00","$2,350.00",,,0,CRINAMEX,CHEVROLET,PARABRISAS
,CHRYSLER,,,,,,,,,,PARABRISAS
DW01442CLN,ATOS 4PTS 01-11,,"$1,070.00","$1,170.00","$1,320.00",4,,4,CRINAMEX,CHRYSLER,PARABRISAS
DW01571GBN,300 4 PTAS. SEDAN 2005 / 2009  DODGE CHARGER 4 PTAS. 2006 / 2009 CHECAR,"$1,170.00","$1,620.00","$1,770.00","$1,950.00",2,,2,CRINAMEX,CHRYSLER,PARABRISAS
FW02716GBN,ATITUDE 4PTS /ACCET 2/4 HB Y SEDAN 06-11 FW02632GTN,,"$1,200.00","$1,400.00","$1,500.00",1,,1,CITSA,CHRYSLER,PARABRISAS
FW02716GBN,ATITUDE 4PTS /ACCET 2/4 HB Y SEDAN 06-11 FW02632GTN,,"$1,560.00","$1,660.00","$1,900.00",,,,CRINAMEX,CHRYSLER,PARABRISAS
FW03482GBN,ATITUDE 4PTS /ACCET 2/4 HB Y SEDAN 12-14 ,,"$1,960.00","$2,060.00","$2,160.00",2,,2,CRINAMEX,CHRYSLER,PARABRISAS
DW01853GTN,AVENGER/CIRRUS/200 4PTS 07-14 (DW01683),,"$2,060.00","$2,160.00","$2,400.00",,,0,GUARDIAN,CHRYSLER,PARABRISAS
DW01643GBN,CALIBER 4PTS 07-12 SIN ETIQUETA,,"$1,500.00","$1,600.00","$1,800.00",1,,1,CRINAMEX,CHRYSLER,PARABRISAS
DW01118GBN,CARAVAN/VOYAGER 87-95 (DW00963 CITSA),,"$1,230.00","$1,330.00","$1,530.00",,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW01226GBN,CARAVAN/VOYAGER C/A 96- 00 / 01-07 /,,"$1,420.00","$1,500.00","$1,700.00",,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW01224GTN,CARAVAN/VOYAGER S/A 96-00 / 01-07 /,,"$1,480.00","$1,600.00","$1,800.00",6,,6,CRINAMEX,CHRYSLER,PARABRISAS
DW01708GTN,GRAND CARAVAN/TAW&CONTRY/ ROUTAN 08-12,,"$2,110.00","$2,210.00","$2,450.00",,,0,CRINAMEX,CHRYSLER,PARABRISAS
DW01660GTY,CHARGER/300/MAGNUN 4PTS 06-10           1780,,"$2,750.00","$2,850.00","$3,050.00",,,0,,CHRYSLER,PARABRISAS
DW00952GBN,CHEROKEE  84-99 (DW01140)COMANCHE ,,$920.00,"$1,070.00","$1,300.00",3,,3,CRINAMEX,CHRYSLER,PARABRISAS
DW01700GTN,COMMANDER 4PTS 06-11,,"$1,280.00","$1,380.00","$1,580.00",,,0,,CHRYSLER,PARABRISAS
