CODIGO,DESCRIPCION,COSTO,NEGOCIO,LLEVAR,COLOCADO,BOD,STK,INV,PROVEEDOR,MARCA,CATEGORIA
DW02005GTM,ECOSPORT 16-19 4 PTAS DW02420,,"$1,710.00","$1,910.00","$2,100.00",1,,1,CRINAMEX,FORD,PARABRISAS
DW01653GTY,EDGE ESPORT/LIMITED 4 PTAS 07-11/LINCON MKX 07-11 4 PTAS ,,"$1,660.00","$1,760.00","$1,980.00",1,,1,CITSA,FORD,PARABRISAS
DW01397GTY,ESCAPE / TRIBUTE 4 PTS  01-07 (1579),,"$1,200.00","$1,350.00","$1,480.00",5,,5,CRINAMEX,FORD,PARABRISAS
DW01086GBN,ESCORT 2 y 4 pts hb 1991-1996,,"$1,330.00","$1,480.00","$1,630.00",6,,6,CRINAMEX,FORD,PARABRISAS
DW01283GBY,ESCORT SEDAN 2/4 PTAS 97-02,,"$1,070.00","$1,190.00","$1,320.00",,,0,CITSA,FORD,PARABRISAS
DW01374GBY,EXCURSION 2000-2005 4 PTAS,,"$1,500.00","$1,600.00","$1,850.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01863GTY,Expedition EL 4 pts  2007-2011,,"$2,600.00","$2,700.00","$2,950.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01087GBY,EXPLORER/ESPORT TRAC 2 PTAS 91-94 (LE KDA EL 1206 ),,$940.00,$960.00,"$1,400.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01206GBY,EXPLORER/ESPORT TRAC 2 PTAS 95-01 (= AL 1087),,"$1,070.00","$1,240.00","$1,350.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01474GBY,EXPLORER/ESPRT TRAC /AVIATOR/MOUNTANIER/4PTAS 02-10(FW01417),,"$1,750.00","$1,900.00","$2,050.00",1,,1,CITSA,FORD,PARABRISAS
DW01474GBY,EXPLORER/ESPRT TRAC /AVIATOR/MOUNTANIER/4PTAS 02-10(FW01417),,"$1,230.00","$1,330.00","$1,650.00",,,,CITSA,,
DW01938GBY,EXPLORER 11-16 4 PTAS (FW01938),,"$1,210.00","$1,310.00","$2,550.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00584GBN,FALCOM 60-65,$616.02,$920.00,"$1,020.00","$1,220.00",3,,3,CITSA,FORD,PARABRISAS
DW0884GBN,FAIRMON SEDAN / WAGON 2/4PTAS 78-83,,"$1,200.00","$1,300.00","$1,500.00",,,0,CRINAMEX,FORD,PARABRISAS
FW02131GBN,FIESTA 98-02 2/4 PTAS /COURIER/ IKON 01-07 2 PTAS (FW02236),,$990.00,"$1,120.00","$1,280.00",4,,4,CRINAMEX,FORD,PARABRISAS
FW02401 GBN,FIESTA FIRS 4 PTAS SEDAN 03-10                                                                  ,,"$1,240.00","$1,390.00","$1,550.00",5,,5,CITSA,FORD,PARABRISAS
DW01837GTN,FIESTA HB 4 PTAS 11-16,,"$1,730.00","$1,830.00","$2,100.00",6,,6,CRINAMEX,FORD,PARABRISAS
DW02289GTN,FIGO 12-17,,"$1,450.00","$1,650.00","$1,900.00",,,0,CITSA,FORD,PARABRISAS
DW01345GBY,FOCUS 2/4 PTAS 00-05 DW01459,,"$1,100.00","$1,200.00","$1,400.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01766GTY,FOCUS SEDAN 2/4 PTAS 06-11,,"$2,560.00","$2,660.00","$2,900.00",,,0,CRINAMEX,FORD,PARABRISAS
DW02002GTN,FOCUS HATBACK Y SD 2012-2018 4 PTS,,"$1,900.00",,,4,,,CITSA,,
DW01876GTY,FOCUS 12 SD/HB 2/4 PTAS (DW01875),,"$2,330.00","$2,430.00","$2,700.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00602GBN,PICK UP 61-66,,"$1,000.00","$1,150.00","$1,300.00",4,,4,CITSA,FORD,PARABRISAS
DW00602GBN,PICK UP 61-67,,"$1,360.00","$1,460.00","$1,560.00",,,,CRINAMEX,FORD,PARABRISAS
DW00819GBN,PICK UP /DOBLE RODADA /BOLTEO/67-79 (DW00687),$610.77,$870.00,$970.00,"$1,100.00",5,,5,CITSA,FORD,PARABRISAS
DW01003 GBN,PICK UP / CAMIONES 80-99 2 Y CAB Y MEDIA ( 1099),$626.40,"$1,100.00","$1,260.00","$1,460.00",5,,5,CITSA,FORD,PARABRISAS
DW01256GBN,FORD PICK UP /F-150/ (EXPEDITION 2/4 PTAS 97-02) (DW01582)            (VITRO),$763.52,"$1,280.00","$1,430.00","$1,580.00",,,0,CITSA,FORD,PARABRISAS
DW01551GTY,PICKUP/ DOBLE CABINA LOBO  04-08   (DW01548)               (SANGOBAY),,"$1,490.00","$1,640.00","$1,800.00",3,,3,CITSA,FORD,PARABRISAS
DW01747GTY,F-150/LOBO 2/4 PTAS 09-14,,"$1,720.00","$1,870.00","$2,300.00",1,,1,CITSA,FORD,PARABRISAS
DW02153GTN,LOBO 2016-2017,"$1,784.11","$3,130.00","$3,230.00","$3,500.00",2,,2,CITSA,FORD,PARABRISAS
DW02153GTN,LOBO 2016-2018,,"$3,130.00","$3,230.00","$3,500.00",,,,CRINAMEX,FORD,PARABRISAS
DW01319 GBN,FORD SERIES 250/550/750/450/350/SUPER DUTY 99-12,$870.00,"$1,280.00","$1,450.00","$1,650.00",1,,1,CITSA,FORD,PARABRISAS
DW01475GBN,FORD KA 2 PTAS 98-08,"$1,127.00",$980.00,"$1,130.00","$1,280.00",,,0,CITSA,FORD,PARABRISAS
DW01622GTN,FUSION 06-12 4 PTAS                                                                          (VITRO),,"$1,410.00","$1,510.00","$1,700.00",4,,4,CITSA,FORD,PARABRISAS
DW01950GTY,FUSION HYBRID /ENERGI SEDAN 4 PTAS 13-16,,"$2,950.00","$3,050.00","$3,300.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00798GBN,GALAXI/LTD/COSTUM 2/4 PTAS 73-79,,"$1,410.00","$1,510.00","$1,700.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00899GBN,GRAND MARQUIS 89-91 WAGON DW01059-1062/CROWN VICTORIA 4 DOOR SEDAN 89-91,,"$1,270.00","$1,370.00","$1,570.00",2,,2,CRINAMEX,FORD,PARABRISAS
DW01149GBY,GRAN MARQUIS /CRUW VICTORIA / MARAUDER 4 PTAS 92-02           (VITRO),,"$1,320.00","$1,420.00","$1,620.00",,,0,CRINAMEX,FORD,PARABRISAS
DW03441GBN,IKON SEDAN 2011  4PTAS (3441) HB 12-13 (igual 02401),,"$1,200.00","$1,300.00","$1,500.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00727GBN,MAVERICK /COME 2/4PTAS 70-77,,"$1,040.00","$1,140.00","$1,340.00",2,,2,CRINAMEX,FORD,PARABRISAS
DW00654GBN,MUSTANG 64-67         DW00703                   ,$488.00,$880.00,$980.00,"$1,200.00",4,,4,CITSA,FORD,PARABRISAS
DW01477GTY,MONDEO 4 PTAS 01-07,,"$1,250.00","$1,400.00","$1,600.00",1,,1,CITSA,FORD,PARABRISAS
DW01477GTY,MONDEO 4 PTAS 01-08,,"$1,980.00","$2,080.00","$2,300.00",,,,CRINAMEX,FORD,
DW00738GBN,MUSTANGG HARD TOP 2 PTAS 69-70,,"$1,350.00","$1,450.00","$1,650.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01609GTN,MUSTANG 2 PTAS COUPE  2005-2010   DW01570,,"$1,520.00","$1,620.00","$1,820.00",8,,8,CITSA,FORD,PARABRISAS
DW00773GBN,MUSTANGG COMBERTIBLE /COUP 2PTAS 71-73,,"$1,640.00","$1,740.00","$1,940.00",,,0,CRINAMEX,FORD,PARABRISAS
DW00824GBN,MUSTANGG 2PTAS 74-79,,$630.00,$850.00,"$1,000.00",2,,2,CITSA,FORD,PARABRISAS
DW00824GBN,MUSTANGG 2PTAS 74-80,,"$1,270.00","$1,370.00","$1,570.00",,,,CRINAMEX,FORD,
DW00900GBN,MUSTANGG 2PTAS 80-90,,$900.00,"$1,000.00","$1,200.00",,,0,,173,PARABRISAS
DW01169GBY,MUSTANGG 2PTAS COUP 94-98 le keda 1517,,"$1,170.00","$1,290.00","$1,450.00",2,,2,,FORD,PARABRISAS
DW01517GTY,MUSTANGG 2PTAS 99-04 le keda 1169,,"$1,770.00","$1,820.00","$2,030.00",,,0,,FORD,PARABRISAS
DW01570GTY,MUSTANGG COUP/COMBERTIBLE 05-14,,"$1,820.00","$1,920.00","$2,150.00",,,0,CRINAMEX,FORD,PARABRISAS
FW02317GBN,PALIO 2/4 PTS HB/SD 04-08,"$1,250.00","$1,500.00","$1,800.00","$2,000.00",6,,6,SAINT GOBAN,FORD,PARABRISAS
DW01090GBN,RANGER PICK UP /BRONCO MINI PICK UP 84-92(DW00939),$660.00,$970.00,"$1,100.00","$1,250.00",,,0,CITSA,FORD,PARABRISAS
DW01205 GBN,RANGER PICK UP CABINA IMEDIA Y DOBLE CABINA 93-10 (DW01317) (DW01150),,$990.00,"$1,140.00","$1,300.00",5,,5,CITSA,FORD,PARABRISAS
DW02078GTY,RANGER PICK UP DOBLE CABINA 13-15,,"$1,360.00","$1,440.00","$1,700.00",4,,4,CITSA,FORD,PARABRISAS
DW02078GTY,RANGER PICK UP DOBLE CABINA 13-16,,"$2,780.00","$2,880.00","$3,100.00",,,,CRINAMEX,FORD,PARABRISAS
DW01091GBN,THUNDERBIRD COUGAR 89-95  (DW01047) CHECAR NO TIENE ETIQUETA ,,"$1,260.00","$1,360.00","$1,560.00",7,,7,CITSA,FORD,PARABRISAS
DW01092GBN,TOPAZ 84-94 2/4 PTAS (DW00947),,$950.00,"$1,050.00","$1,190.00",10,,10,CITSA,FORD,PARABRISAS
DW01218GBN,TAURUS 4 PTAS. SEDAN 96-05 MERCURY SABLE,$961.00,"$1,520.00","$1,620.00","$1,820.00",4,,5,CITSA,FORD,PARABRISAS
DW01758GTN,TRANSIT MINI BAN 07-09,,"$1,400.00","$1,560.00","$2,100.00",1,,1,CITSA,FORD,PARABRISAS
DW01758GTN,TRANSIT MINI BAN 07-10,,"$1,910.00","$2,060.00","$2,500.00",,,,CRINAMEX,FORD,PARABRISAS
DW01815GTN,1719,,"$2,640.00","$2,790.00","$3,300.00",,,0,CRINAMEX,FORD,PARABRISAS
DW01174GBY,WINDSTAR/FREESTAR/MONTEREY 95-05 (DW01257)                      (VITRO),"$1,000.00","$1,260.00","$1,310.00","$1,480.00",,,0,CRINAMEX,FORD,PARABRISAS
,NISSAN,,,,,,,,,,PARABRISAS
FW00727GBN,ALTIMA 4PTS SEDAN 93-97,,"$1,090.00","$1,190.00","$1,390.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02260GBN,ALTIMA 4PTS 98-01 (FW02060),,"$1,500.00","$1,600.00","$1,700.00",1,,1,CRINAMEX,NISSAN,PARABRISAS
FW02281GBN,ALTIMA 4PTS 02-06,,"$1,200.00","$1,300.00","$1,500.00",1,,1,CRINAMEX,NISSAN,PARABRISAS
FW02734GTN,ALTIMA SEDAN 4PTS 07-12                                                               (VITRO),,"$1,450.00","$1,550.00","$1,700.00",3,,3,CRINAMEX,NISSAN,PARABRISAS
FW03621GBN, Altima 4 Door Sedan 2013-2015 ,,"$1,560.00","$1,660.00","$1,860.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02822GBN,ALTIMA COUPE 2PTS 08-13,,"$2,310.00","$2,410.00","$2,600.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02297GTN,ALMERA SEDAN 2/4PTS 00-06,"$1,130.00","$1,430.00","$1,530.00","$1,730.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02962GTN,APRIO 4PTS 08-10                                                                            (VITRO),,"$1,510.00","$1,610.00","$1,800.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02391GBN,ARMADA /TITAN /(ISUZUQX56)06-10,"$1,271.00","$1,640.00","$1,740.00","$1,940.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW03754GTN,CARGO VAN NV 200 13-16,,"$1,910.00","$2,010.00","$2,200.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW00389GBN,"DATSUN HATCH-BACK,2 P. SAMURAY 81-83   FW00412",$614.80,$900.00,"$1,150.00","$1,350.00",5,,5, CITSA ,NISSAN,PARABRISAS
FW00197GBN,DATSUN SEDAN 4PTS 65-73 CONGOMA,,$900.00,"$1,050.00","$1,300.00",1,,1, CITSA ,NISSAN,PARABRISAS
FW00197GBN,DATSUN SEDAN 4PTS 65-73 CONGOMA USADO,,$700.00,$800.00,"$1,000.00",1,,1, CITSA ,,
FW00270CLN,DATSUN 610 SEDAN /WAGON 4PTS 74-78 BOLILLO,,"$1,000.00","$1,100.00","$1,350.00",2,,2, CITSA ,NISSAN,PARABRISAS
FW00357GBN,DATSUN 810 SEDAN /WAGON 2/4 PTS 79-83 CHECAR ANTES,,$910.00,"$1,060.00","$1,200.00",4,,4,CITSA,NISSAN,PARABRISAS
FW00357CLN,DATSUN 810 SEDAN /WAGON 2/4 PTS 79-84,,"$1,210.00","$1,310.00","$1,500.00",,,,CRINAMEX,,
FW00177GBN,DATSUN PRIMERA PICK UP 2PTS 66-72,,"$1,150.00","$1,250.00","$1,350.00",1,,1,CITSA,NISSAN,PARABRISAS
FW00177GBN,DATSUN PRIMERA PICK UP 2PTS 66-73,,"$1,980.00","$2,080.00","$2,200.00",,,,CRINAMEX,NISSAN,PARABRISAS
FW02070GBN,XTERRA /FRONTIER  98-02,,"$1,350.00","$1,450.00","$1,650.00",,,0,CITSA,NISSAN,PARABRISAS
FW02229GBN,FRONTIER 01-08 /XTERRA 00-04,,"$1,200.00","$1,300.00","$1,500.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02510GBN,FRONTIER / PATHFINDER / XTERRA 06-15                    (VITRO)                   1851 SIN ETIQUETA,,"$1,550.00","$1,620.00","$1,800.00",4,,4,CRINAMEX,NISSAN,PARABRISAS
FW04146GTN,FRONTIER 2015,,"$1,170.00","$1,320.00","$1,480.00",5,,5,CRINAMEX,NISSAN,PARABRISAS
FW00538GBN,HIKARY  2PTS 88-91 REVISAR ANTES,,"$1,020.00","$1,170.00","$1,300.00",5,,5,CITSA,NISSAN,PARABRISAS
FW00538GBN,HIKARY  2PTS 88-92,,"$1,480.00","$1,580.00","$1,780.00",,,,CRINAMEX,NISSAN,PARABRISAS
FW02153GBN,ICHIVAN,,"$1,100.00","$1,200.00","$1,300.00",1,,1,CITSA,NISSAN,PARABRISAS
FW03311GTN,JUKE 4PTS 11-16,,"$1,750.00","$1,850.00","$2,050.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW04504GTN,KICKS 4 PTS 2017,,"$1,770.00","$1,920.00","$2,100.00",5,,5,CITSA,NISSAN,PARABRISAS
FW02657GBN,MICRA 4 PTAS HATCHBACK 05/08   FW04323,$736.00,"$1,150.00","$1,300.00","$1,600.00",4,,4,CITSA,NISSAN,PARABRISAS
FW02657GBN,MICRA 4 PTAS HATCHBACK 05/08   FW04324,,"$3,300.00","$3,400.00","$3,600.00",,,,CRINAMEX,NISSAN,PARABRISAS
FW03433GTN,MARCH HB 4PTS 12-15 ,,"$1,250.00","$1,360.00","$1,550.00",2,,2,CRINAMEX,NISSAN,PARABRISAS
FW00781GBN,     ,,"$1,630.00","$1,730.00","$1,950.00",,,0,,NISSAN,PARABRISAS
FW02121GBN,,,"$1,530.00","$1,630.00","$1,830.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02410GBN,MAXIMA 4PTS 04-08,,"$2,550.00","$2,650.00","$2,850.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02381GBY ,MURANO 4PTS 03-07,,"$2,400.00","$2,500.00","$2,700.00",3,,3,CRINAMEX,NISSAN,PARABRISAS
FW00271GBN,NISSAN PICKUP 72-79 1100,,$850.00,$950.00,"$1,100.00",2,,2,CRINAMEX,NISSAN,PARABRISAS
FW00413 GBN,NISSAN PICK UP 720 81-93 MEXICANA,$603.00,$920.00,"$1,040.00","$1,150.00",3,,3,CITSA,NISSAN,PARABRISAS
FW003421 GBN,NISSAN PICKUP D21 93-11 FRONTIER/XTERRA/D22/ (FW00526),,$910.00,"$1,030.00","$1,150.00",5,,5,CITSA,NISSAN,PARABRISAS
FW03781GTN,NOTE  14-16 PRESENTARLO ANTES EL PARAB SE BORRO CLAVE)," PROMO $1,665 ","$2,870.00","$2,970.00","$3,170.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02012GBN,PATHFINDER 96-04 (FW02000GBN),,"$1,380.00","$1,480.00","$1,680.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02290-GBN,PLATINA 4PTS 05-10 /RENAULT CLIO 2 PTAS 01-05 1450 YA INSTALADO,,"$1,190.00","$1,340.00","$1,490.00",5,,5,CITSA,NISSAN,PARABRISAS
DW01252GBN,QUEST MINI VAN 93-98 / VILLAGER FORD              (DW01143)                                   (VITRO),,"$1,630.00","$1,780.00","$1,930.00",5,,5,CRINAMEX,NISSAN,PARABRISAS
DW01328GBN,QUEST MINI VAN 99-03  (LE KEDA EL 01252),,"$1,070.00","$1,170.00","$1,370.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02392GTN,QUEST MINI VAN 04-10,,"$1,670.00","$1,770.00","$1,980.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW02878GTN,ROGUE SELECT 4PTS 08-15                                                           (VITRO),,"$1,590.00","$1,690.00","$1,900.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW00412CLN,SAMURAY 4PTS HB 81-83,,$900.00,"$1,000.00","$1,200.00",,,0,CRINAMEX,NISSAN,PARABRISAS
FW00405CLN,SAKURA 2PTS 80-83,,$900.00,"$1,000.00","$1,200.00",3,,3,CITSA,NISSAN,PARABRISAS
FW00801GBN,SENTRA I 4PTS  96-00,$593.89,"$1,060.00","$1,160.00","$1,360.00",1,,1,CRINAMEX,NISSAN,PARABRISAS
FW02179GBN,SENTRA II 4PTS 01-06                                                                       (VITRO),,"$1,080.00","$1,180.00","$1,400.00",7,,7,CRINAMEX,NISSAN,PARABRISAS
FW02729GTN,SENTRA III SEDAN 4PTS 07-12                                             (SAINT),,"$1,190.00","$1,340.00","$1,490.00",5,,5,CRINAMEX,NISSAN,PARABRISAS
FW03667GTN,SENTRA SEDAN 4PTS 13-16 (FW04404 SANGOBAY),,"$1,460.00","$1,610.00","$1,800.00",5,,5,SAINT GOBAIN,NISSAN,PARABRISAS
FW02152CLN,TSUBAME 4PTS 93-04 (03309),,"$1,120.00","$1,240.00","$1,450.00",,,0,CRINAMEX,,
FW00440GBN,TSURU I SEDAN 2/4PTS 84 87,,$870.00,$950.00,"$1,050.00",5,,5,CRINAMEX,NISSAN,PARABRISAS
FW00441GBN,TSURU I VAGONETA /NINJA SAMURAY 2/4 PTS 84-87,,$890.00,$970.00,"$1,020.00",3,,3,CRINAMEX,NISSAN,PARABRISAS
FW00528GBN,TSURU II 4/2 PTS SEDAN /WAGON 88-91,$633.37,$960.00,"$1,060.00","$1,230.00",2,,2,CRINAMEX,NISSAN,PARABRISAS
FW00663GBN,TSURU III 2/4 PTS 92-16                                                                               ,,$910.00,"$1,030.00","$1,150.00",5,,5,CITSA,NISSAN,PARABRISAS
FW02653GTY,TIIDA SEDAN/HB 4PTS 07-16,$914.54,"$1,220.00","$1,340.00","$1,500.00",,,0,CITSA,NISSAN,PARABRISAS
FW03716CLN,URVAN 99-01,,"$1,300.00","$1,400.00","$1,500.00",2,,2,CRINAMEX,NISSAN,PARABRISAS
FW03456GTN-C,URVAN CORTA 13-18 CORTA,$997.60,"$1,200.00","$1,400.00","$1,600.00",12,,12,CITSA,NISSAN,PARABRISAS
FW03456 GTN,URVAN LARGA 13-18 LARGA,,"$1,380.00","$1,580.00","$1,780.00",5,,5,CITSA,NISSAN,PARABRISAS
FW02446-GBN,URVAN 02-12,"$1,270.00","$1,165.00","$1,320.00","$1,480.00",5,,5,CITSA,NISSAN,PARABRISAS
FW03488 CLN,VERSA 08-18 (FW03480) (03496)    PRESENTAR PARA EL 17             ,,"$1,110.00","$1,260.00","$1,450.00",5,,5,CITSA,NISSAN,PARABRISAS
05160GTN,VERSA 2019-2021 2200,,"$2,300.00","$2,500.00","$2,550.00",5,,5,CITSA,NISSAN,PARABRISAS
FW02329GTN,X-TRAIL 4PTS 01-07                                                                (VITRO),,"$1,200.00","$1,300.00","$1,500.00",1,,1,CITSA,NISSAN,PARABRISAS
FW03477GTN,X-TRAIL 4PTS 08-14 S/SENSOR                                    (SANGOBAY), vit1466/saint2065 ,"$1,250.00","$1,400.00","$1,600.00",4,,4,CITSA,NISSAN,PARABRISAS
FW03898GTN,X-TRAIL 4PTS 15-17,,"$1,650.00","$1,850.00","$1,950.00",1,,1,CITSA,NISSAN,PARABRISAS
FW03898GTN,X-TRAIL 4PTS 15-18,,"$1,650.00","$1,750.00","$1,950.00",,,,CRINAMEX,NISSAN,PARABRISAS
FW00780,240SX 2 PTAS 95-98 esta en dodge,,"$1,640.00","$1,680.00","$1,880.00",1,,1,BENZON,NISSAN,PARABRISAS
FW03331GTY,AMAROK 11-12,,"$1,670.00","$1,850.00","$2,000.00",2,,.,CRIN/CITS,VOLKSWAGEN,PARABRISAS
FW02072GYN,BEETLE 98-10 2 PTS                                           (SANGOBAY),$991.80,"$1,220.00","$1,320.00","$1,450.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW02289GYY,BEETLE 98-12 2 PTAS CON SENSOR,,,,,,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW03474GTY,BEETLE 12-16 (FW03505)                                (SANGOBAY) 2200,,"$1,780.00","$1,880.00","$2,100.00",2,,2,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW3002GTN,BORA 06-11 (FW02977) (FW02525GTY)(FW02795),,"$1,750.00","$1,830.00","$2,050.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW00173GBN,BOCHO 73-04                                                            (VITRO),,$400.00,$460.00,$550.00,14,,14,CITSA,VOLKSWAGEN,PARABRISAS
FW00174GBN,BOCHO 69-72 PLANO                                                          (VITRO),,$360.00,$440.00,$500.00,5,,5,CITSA,VOLKSWAGEN,
FW00435GBN,CORSAR 4 PTAS. 83-88,$706.05,$940.00,"$1,040.00","$1,150.00",4,,4,CRINAMEX,VOLKSWAGEN,
FW00006GBN,BRASILIA 74-81,,$950.00,"$1,030.00","$1,100.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW00332GBN,caribe,,$810.00,$900.00,"$1,000.00",3,,3,CRINAMEX,VOLKSWAGEN,PARABRISAS
1800,CABRIO,,"$1,250.00","$1,400.00","$1,550.00",1,,1,CITSA,VOLKSWAGEN,PARABRISAS
FW02004GTN,CABRIO,,"$2,080.00","$2,180.00","$2,380.00",,,,CRINAMEX,,
FW00201GBN,COMBI,$550.00,$820.00,$890.00,$980.00,4,,4,CITSA,VOLKSWAGEN,PARABRISAS
FW00796GBN,DERVY 95-98 ,,"$1,020.00","$1,170.00","$1,300.00",4,,4,CITSA,VOLKSWAGEN,PARABRISAS
FW02291GTN,DERVY 99-04,,$990.00,"$1,110.00","$1,280",5,,5,CITSA,VOLKSWAGEN,PARABRISAS
FW00712GBN,EUROVAN 92-05              (SANGOBAY),,"$1,320.00","$1,470.00","$1,620.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW01543GBN,GOLF /JETTA A2 87-92 2/4 PTS PEGADO,,"$1,300.00","$1,400.00","$1,500.00",,,0,CITSA,VOLKSWAGEN,PARABRISAS
FW00491 GBN,GOLF /JETTA A2 C/ GOMA 87-92,$660.00,$980.00,"$1,100.00","$1,250.00",5,,5,CITSA,VOLKSWAGEN,PARABRISAS
FW00728-GBN,GOLF /JETTA A3 93-98 2/4 PTS BOLA ARRIBA,,"$1,050.00","$1,200.00","$1,350.00",5,,5,CITSA,VOLKSWAGEN,PARABRISAS
FW02006GBN,GOLF /JETTA A3 93-98 2/4 PTS BOLA ABAJO                     (VITRO),,$960.00,"$1,060.00","$1,200.00",,,0,CITSA,VOLKSWAGEN,PARABRISAS
FW02115 GBN,GOLF /JETTA A4          2843           (VITRO) (2780),,"$1,150.00","$1,280.00","$1,400.00",5,,5,CITSA,VOLKSWAGEN,PARABRISAS
FW03187GTY,GOLF/GTI 10-14 2/4 PTS,,"$2,470.00","$2,570.00","$2,770.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW03096GTN,GOL /SAVEIRO 08-18,,"$1,100.00","$1,220.00","$1,380.00",5,,5,CITSA,VOLKSWAGEN,PARABRISAS
FW03316GTY,JETTA A5 VICENTENARIO 11-15,,"$1,130.00","$1,250.00","$1,450.00",8,,8,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW04876GTN,JETTA 2018-2021 4 PTS,,"$1,980.00","$2,130.00","$2,300.00",4,,4,CITSA,,
FW02480GTN,LUPO 04-10 /CROSS FOX 05-09 /(FW03278 ) SPORT VAN 07-10 S/ANTENA,,$950.00,"$1,050.00","$1,250.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW02481GTY,LUPO 04-10 /CROSS FOX 05-09 /(FW03278 ) SPORT VAN 07-10 C/ANTENA,,"$1,180.00","$1,320.00","$1,480.00",,,0,CITSA,VOLKSWAGEN,PARABRISAS
FW02481GTY,LUPO 04-10 /CROSS FOX 05-09 /(FW03278 ) SPORT VAN 07-10 C/ANTENA,,"$1,850.00","$1,950.00","$2,150.00",,,,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW00655GTY,PASSAT 4 PTAS SEDAN 90-97, BS1460/ ,   ,,,,,0,BENZON,VOLKSWAGEN,PARABRISAS
FW02248GYY,PASSAT 98-05,,"$1,750.00","$1,850.00","$2,050.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW03259GTY,PASSAT MDX 06-11,,"$2,320.00","$2,420.00","$2,650.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW03090GTY,PASSAT CC /4 PTS 09-13,,"$2,400.00","$2,500.00","$2,700.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW03792GTY,PASSAT 12-16 4PTS,,"$3,200.00","$3,300.00","$3,500.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW-02331 GBN,POINTER 2/ 4/ PTS SEDAN /WAGON 98-10 (2331) (2670),,"$1,050.00","$1,200.00","$1,350.00",5,,5,CITSA,VOLKSWAGEN,PARABRISAS
FW02498GTN,POLO 4 PTS 03-07,,"$1,400.00","$1,500.00","$1,700.00",,,0,0,VOLKSWAGEN,PARABRISAS
FW02330GTN,SHARAN /ALHAMBRA 06-10 EN TOYOTA ,,"$2,360.00","$2,460.00","$2,560.00",2,,2,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW02944GTN,TIGUAN 09-16,,"$1,550.00","$1,700.00","$1,850.00",7,,7,CITSA,VOLKSWAGEN,PARABRISAS
FW02944GTY,TIGUAN 09-17,,"$1,980.00","$2,080.00","$2,300.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW 03895-GTN,VENTO 14-18 PTS,,"$1,480.00","$1,630.00","$1,900.00",2,,2,CITSA,VOLKSWAGEN,PARABRISAS
FW04984GTN,VIRTUS 20-21 SEDAN / POLO 19-20 HATBACH ,,"$1,800.00","$1,950.00","$2,100.00",,,,,VOLKSWAGEN,PARABRISAS
DW01719GBN,CRAFTER VAN 07-11,,"$1,250.00","$1,350.00","$1,800.00",,,0,CRINAMEX,VOLKSWAGEN,PARABRISAS
FW04372GTN,CROSS UP! 17,,"$1,620.00","$1,770.00","$1,950.00",1,,1,1 USADO,VOLKSWAGEN,PARABRISAS
